Ocean_Name,Date_Year,avg_bleaching_pct,num_observations,avg_temperature,avg_ssta,avg_tsa,max_bleaching_pct
Atlantic,2016,7.815648148148147,324,300.120864197531,0.5459876543209876,-0.9724074074074079,77.78
Atlantic,2017,2.4544394618834082,223,300.5856950672645,0.3839461883408071,-0.8968161434977576,36.75
Atlantic,2018,1.5658682634730539,167,300.40610778443113,0.114251497005988,-1.441077844311377,23.75
Atlantic,2019,0.5251351351351351,74,300.4740540540539,0.15081081081081082,-1.303243243243243,8.25
Indian,1983,75.0,1,300.69,0.38,-0.53,75.0
Indian,1986,75.0,1,300.69,0.18,-0.84,75.0
Indian,1990,75.0,2,302.3,0.69,0.04,75.0
Indian,1991,75.0,2,302.40999999999997,1.615,1.0699999999999998,75.0
Indian,1995,75.0,3,302.1366666666667,0.9766666666666666,0.8466666666666667,75.0
Indian,1997,46.125,4,301.94000000000005,0.395,-0.29250000000000004,75.0
Indian,1998,50.69449612403102,129,300.68109375,0.7899999999999998,0.06171875000000003,89.26
Indian,1999,16.357142857142858,7,299.57142857142856,0.6214285714285713,0.3685714285714286,75.0
Indian,2000,3.27,4,297.67,0.16,-1.2275,5.5
Indian,2001,27.718888888888888,18,298.59055555555557,0.43666666666666676,-1.1372222222222224,75.0
Indian,2002,27.48846153846154,26,300.6396153846154,0.5796153846153848,0.303076923076923,90.0
Indian,2003,13.766355140186915,107,300.2860747663551,-0.09130841121495327,-2.662056074766355,90.0
Indian,2004,6.891,80,299.89487499999996,0.019249999999999972,-1.73675,75.0
Indian,2005,7.31288256227758,281,301.1213261648746,0.48526881720430104,-0.9673118279569894,80.0
Indian,2006,1.306315789473684,95,301.35231578947383,-0.22136842105263152,-1.8925263157894747,75.0
Indian,2007,3.4209166666666664,120,300.52508333333327,0.16424999999999998,-0.8678333333333335,27.05
Indian,2008,0.6938461538461538,130,300.89676923076934,-0.1775384615384615,-1.5448461538461538,10.5
Indian,2009,3.490891089108911,101,300.51168316831684,0.24247524752475247,-1.395148514851485,75.0
Indian,2010,25.71654545454546,110,300.5344545454546,0.6770000000000003,-0.5192727272727272,97.0
Indian,2011,0.44396551724137934,116,301.21534482758625,0.5984482758620687,-0.5610344827586207,3.5
Indian,2012,0.43309859154929575,142,300.36845070422544,0.2901408450704226,-1.2591549295774649,10.0
Indian,2013,0.7044,50,300.5408,-0.4940000000000001,-1.9631999999999998,5.0
Indian,2014,0.6524390243902439,82,300.3641463414633,0.4478048780487804,-1.4719512195121955,10.0
Indian,2015,1.0726027397260274,73,300.02958904109585,0.5152054794520547,-1.2449315068493152,41.5
Indian,2016,47.93887550200801,249,300.688313253012,0.6378714859437752,0.09823293172690764,100.0
Indian,2017,1.1838235294117647,136,301.4308823529412,0.628970588235294,-0.8235294117647056,20.0
Indian,2018,1.9038461538461537,104,301.77538461538455,-0.05923076923076927,-0.786153846153846,35.0
Indian,2019,5.382828947368421,152,301.53315789473703,0.5177631578947368,-0.4472368421052629,65.0
Indian,2020,9.0,2,,,,9.0
Pacific,1980,52.75,2,295.53,,,75.0
Pacific,1983,69.66666666666667,12,299.1983333333333,2.6533333333333338,1.4333333333333336,100.0
Pacific,1986,81.25,2,298.08,-0.44499999999999995,-1.88,87.5
Pacific,1987,9.4,1,298.75,2.35,1.2,9.4
Pacific,1991,66.89999999999999,3,300.6433333333334,0.6233333333333333,0.5866666666666668,75.0
Pacific,1992,41.833333333333336,3,300.49333333333334,-0.5966666666666667,-1.9266666666666667,60.0
Pacific,1993,54.375,4,301.5125,-0.6975,-1.6949999999999998,75.0
Pacific,1994,31.791999999999998,15,300.8913333333333,0.04533333333333332,-0.47000000000000003,75.0
Pacific,1996,49.179285714285705,14,300.39214285714286,0.3,0.2521428571428571,100.0
Pacific,1997,35.0,13,300.1530769230769,0.99,0.009230769230769213,75.0
Pacific,1998,44.5533276450512,586,299.2632593856655,0.9865187713310585,-0.6146075085324239,100.0
